target,accuracy,precision_macro,recall_macro,f1_macro,unique_actual_values
tar_49,0.903448275862069,0.8092181093286472,0.7640199732184632,0.7838548457192525,2
tar_50,0.9221674876847291,0.8246168622815164,0.7843150849557194,0.8025607879347492,2
tar_51,0.9004926108374385,0.7804871923656453,0.7443041629481862,0.7605063906235033,2
tar_52,0.7733990147783252,0.6615701611633157,0.60134957136428,0.61337559786425,2
tar_53,0.8502463054187193,0.6208806818181818,0.5530610378597676,0.5628173739571999,2
tar_54,0.9330049261083744,0.4665024630541872,0.5,0.48267074413863403,2
tar_55,0.9684729064039409,0.48423645320197045,0.5,0.491991991991992,2
tar_56,0.9684729064039409,0.48423645320197045,0.5,0.491991991991992,2
tar_57,0.9684729064039409,0.48423645320197045,0.5,0.491991991991992,2
tar_58,0.8266009852216749,0.5113521926210748,0.5017946825293444,0.4740684912148476,2
tar_59,0.8541871921182266,0.4924900695134062,0.49951196295758515,0.4673049645390071,2
tar_60,0.7261083743842365,0.699266945667206,0.687219749983015,0.691719909450849,2
tar_61,0.9684729064039409,0.48423645320197045,0.5,0.491991991991992,2
tar_62,0.9044334975369458,0.8194288213973253,0.7772951315157246,0.796001036001036,2
tar_63,0.903448275862069,0.8092181093286472,0.7640199732184632,0.7838548457192525,2
tar_64,0.9221674876847291,0.8246168622815164,0.7843150849557194,0.8025607879347492,2
tar_65,0.9004926108374385,0.7804871923656453,0.7443041629481862,0.7605063906235033,2
tar_66,0.7438423645320197,0.7108041958041957,0.6976064782848103,0.7028474399164054,2
tar_67,0.6522167487684729,0.561747633044326,0.5369295595484179,0.5245232891291741,2
tar_68,0.6266009852216748,0.6246446983702956,0.6194599256900213,0.6187118957210214,2
tar_69,0.6413793103448275,0.6416831044980119,0.6422919737632296,0.6410863195853054,2
tar_70,0.7133004926108374,0.5747252747252747,0.5354958985831468,0.5240845921450151,2
tar_92,0.7389162561576355,0.6758732918700818,0.649177956567366,0.6578748875906429,2
tar_93,0.7546798029556651,0.627205756381703,0.5718548387096775,0.5768432896171021,2
tar_94,0.9320197044334976,0.7106698269549466,0.6770445344129554,0.692030658417213,2
tar_95,0.9172413793103448,0.7334690861600852,0.6682830459770115,0.6938995318378953,2
tar_96,0.9310344827586207,0.7373077681388013,0.7127297631671968,0.7241676501646065,2
tar_97,0.6275862068965518,0.6227038208421187,0.6204952040344149,0.6208794466403162,2
tar_98,0.9182266009852217,0.6840202891604761,0.6307092198581561,0.6514206743600035,2
tar_99,0.9152709359605912,0.7395747158133408,0.685980685980686,0.7082553475935829,2
tar_100,0.8886699507389163,0.6953867028493894,0.6440646821021683,0.6639712883615323,2
tar_101,0.683743842364532,0.6056382641748496,0.5630877742946708,0.5575936811317911,2
tar_102,0.8403940886699507,0.6981444735286668,0.6332041948713583,0.6539772727272728,2
tar_103,0.8975369458128079,0.6871991978609626,0.6617402453392474,0.673132183908046,2
tar_104,0.8482758620689655,0.7034841954022988,0.6207054899194734,0.6438304349411207,2
tar_105,0.9428571428571428,0.7605673758865248,0.7974898785425102,0.7775132275132275,2
tar_106,0.8719211822660099,0.6751893939393939,0.5831460674157304,0.6037537537537538,2
tar_107,0.9211822660098522,0.731262847560316,0.7260356359214317,0.7286096256684492,2
tar_108,0.8857142857142857,0.6851230960820002,0.6164741336012054,0.6391708345591841,2
tar_109,0.9142857142857143,0.7100435503141018,0.6378874130297281,0.6640466579671218,2
tar_110,0.8482758620689655,0.6914951245937162,0.6226375250765495,0.6438304349411207,2
tar_111,0.6266009852216748,0.5889698657058631,0.5764653038244036,0.5762097551571236,2
tar_112,0.7379310344827587,0.6529106162686101,0.5816761781490851,0.5843340476894275,2
tar_113,0.9369458128078818,0.7767650969141418,0.8209388185654009,0.7967306681352793,2
tar_114,0.8059113300492611,0.6905076807338559,0.5942101599721579,0.6093293606213062,2
tar_115,0.8926108374384236,0.7048795216213032,0.6431769525299518,0.6660871822267294,2
tar_116,0.6581280788177339,0.5801649177736101,0.5452046533173678,0.5312938740366842,2
tar_117,0.8463054187192118,0.7138442605214756,0.6127450980392157,0.6366548565344299,2
tar_118,0.9241379310344827,0.7443315868492815,0.7084607743183541,0.7245434904433455,2
tar_119,0.5586206896551724,0.5407276225646689,0.5373753889764279,0.5345104333868379,2
tar_120,0.8364532019704434,0.7354839651848823,0.6543062200956937,0.6788856193206074,2
tar_121,0.9172413793103448,0.7689943691014355,0.7244111419875612,0.7439639639639639,2
tar_122,0.7064039408866996,0.6876336439193831,0.6607335267302114,0.666006342644123,2
tar_123,0.9014778325123153,0.8318571428571429,0.7884506222770943,0.8075989870039277,2
tar_124,0.7783251231527094,0.7630538354866612,0.675967596759676,0.6934847644983216,2
tar_125,0.8246305418719212,0.7794282966735291,0.7145951652832387,0.7365005192107996,2
tar_126,0.6748768472906403,0.6382547900609912,0.6192921746634741,0.622844827586207,2
tar_127,0.8807881773399014,0.7927177219734332,0.7230983035225669,0.7501063139282438,2
tar_128,0.8847290640394089,0.7795169082125604,0.7229672447013488,0.746100807098188,2
tar_129,0.7192118226600985,0.6885475045378062,0.6247545409916544,0.6301876323954483,2
tar_130,0.8463054187192118,0.5836774274274275,0.5103082851637765,0.48827498836547906,2
tar_131,0.7142857142857143,0.6985222812283538,0.6768873747099196,0.6820917252045586,2
tar_132,0.8866995073891626,0.823701245675768,0.7804580771308756,0.7992087042532146,2
tar_133,0.7408866995073892,0.7160854009228916,0.6687021937572335,0.6788859497491306,2
tar_134,1.0,1.0,1.0,1.0,2
tar_135,0.8334975369458129,0.7758620689655172,0.7430799824660814,0.7568000567114451,2
tar_136,0.9073891625615763,0.8355835259298672,0.7965820255099042,0.814111256585305,2
tar_137,0.8719211822660099,0.8098669623059866,0.753987240829346,0.776604317910933,2
tar_138,0.8472906403940886,0.8244285714285714,0.7155396830561973,0.7475452557122249,2
tar_139,0.7536945812807881,0.7292828846309322,0.675367926361725,0.6875523311366569,2
tar_140,0.6719211822660098,0.631044226044226,0.6136702699016214,0.617119540899148,2
tar_141,0.5842364532019705,0.5466666666666666,0.5422562973792061,0.5411589023721377,2
tar_142,0.8876847290640394,0.8418165582344688,0.7691713650690006,0.7976730034831507,2
tar_143,0.7625615763546798,0.7370940731032474,0.700120719929763,0.7112123262038084,2
tar_144,0.8009852216748768,0.7700931470392548,0.6963900418952522,0.716972016079159,2
tar_145,0.5596059113300492,0.5590055716583648,0.5591015582434347,0.5589877729079367,2
tar_146,0.7487684729064039,0.7159809062794138,0.6588916366906474,0.670785269190996,2
