,bitmap_01,bitmap_02,bitmap_03,bitmap_05,bitmap_07,bitmap_08,bitmap_09,bitmap_10,bitmap_11,bitmap_12,bitmap_13,bitmap_14,bitmap_15,bitmap_16,bitmap_17,bitmap_18,bitmap_19,bitmap_20,bitmap_21,bitmap_22,bitmap_23,bitmap_24,bitmap_25
tar_27,0.0647036122349341,0.1400310331520235,0.057520093670511654,0.056255578159886015,0.08995856185873875,0.04077438885707835,0.0070271675635734535,0.01820605714147031,0.00010438230597945663,0.0014629181763731454,0.00012118063660336153,0.0011492054919718412,0.0015380765137699495,0.05490900037215658,0.0008905460358901888,0.005130758096847194,0.004185883003889747,0.0016785969485442781,0.00420019604054253,0.18684412003378087,0.012689581287181747,0.23045756229951192,0.020161500118741113
tar_28,0.026830576917775673,0.18407817438726612,0.022279105567590763,0.06262184858814052,0.10263161459526915,0.028905104088510696,0.004140240019064468,0.0001893822092594814,0.00025144301293435173,0.00046717301685570865,0.0031328683129805343,0.0046670698314438454,0.008735490081700206,0.03601766757683913,0.008365835289239414,0.0017318059008426423,0.00037741422981602674,0.010642456032599579,0.002468734179381984,0.19761378378039623,0.060217759750993125,0.22413306761555266,0.009501385015547545
tar_29,0.02715545184781439,0.10225020716124417,0.06276415576307406,0.06413814439487646,0.07407941597985633,0.07893367170581371,0.0030697823952313156,9.723011992332007e-06,0.00801085020859304,0.01022205672055607,0.00397315813965636,6.45603861067234e-05,0.0004744605608704899,0.05849938302528457,0.0002303997812212399,0.002444863010627894,0.0004491632806282525,0.002028558240271896,0.0034436124671103257,0.131639829901947,0.002803444638978278,0.30687268037936977,0.05644242699887541
tar_30,0.027299112734687585,0.12075346303332223,0.08457316010263742,0.052779262592592906,0.057119187265972385,0.08527818044364596,0.002821293235646523,0.00014154441192358862,0.0017810704495143496,0.02984652106654238,7.379542295387703e-05,0.0002824039989415325,0.001169329305990271,0.054043432597098505,8.628611486751994e-05,0.00200322619697604,0.0006052850949177554,0.0027337452640060975,0.006478430917915943,0.12962190714528793,0.0002639136416407161,0.2985763647421445,0.041669084220774005
tar_31,0.03072147323470748,0.11445418204723169,0.07607498016098381,0.061919532557875454,0.07051280761731248,0.08451993220355948,0.0009880544756799428,0.00040666799903992727,0.000163683988975136,0.01908250534267047,0.0002746742473069119,0.0022521648267767682,0.0003215472598907088,0.055552028341492476,0.00016564006209818322,0.002501705150797268,0.0004216060073394276,0.001904116314271332,0.0031313525485300244,0.10919735135133544,0.0027754936300168663,0.3114698674717181,0.051188633160390726
tar_32,0.026600271537525377,0.11538896628594902,0.0890956529120547,0.03968693681754129,0.049813107691805296,0.10274116687223309,0.0010667392098517713,0.0020942812287033557,0.008304426578788524,0.002293721494937933,5.393941585677319e-05,0.0006427022716549642,0.0005132568859427697,0.05376579611207858,0.00024604055130852807,4.7308593570532036e-05,0.00044970364382222896,0.002030994672122828,0.0010102143002657992,0.11100863043640707,0.0006319586259256389,0.3453892606918706,0.047124923169783395
tar_33,0.00912143658518954,0.3744721146287425,0.004578633245407932,0.023146734976194454,0.0948662304390634,0.017785036138471336,0.027946883323583537,0.009731469753002793,0.001439343483362466,0.008847587881844666,0.0003771504780515131,0.0013715128272611258,7.583833409062634e-05,0.00540795453444593,0.0028206467140925724,0.004669336677770603,0.0031985962381664047,0.00024338176253734285,0.003039556000899602,0.20064829917787727,0.02457195392695442,0.03876405178531582,0.1428762510876742
tar_34,0.02038265057428057,0.35635721570606455,0.017847475077235147,0.018611074804822852,0.07560389342316867,0.006955377848973763,0.0773463809344001,0.0005039656522130824,0.00015855828062364427,0.0123227092629458,0.00014081627974311869,0.0182865960040926,0.0018272618472133402,0.0047465847597942855,0.009715646433224793,0.008554213532363833,0.00391830663446687,0.0007379162139884603,0.009212410611423857,0.1840897336333064,0.0012215243981705723,0.02752553038882403,0.14393415769865955
tar_35,0.022350451236179084,0.1476835478848414,0.04082210739184762,0.012779153856583417,0.07891061753263659,0.014023126806837437,0.04137911236523249,0.008731208293287725,0.0035946074979205894,0.0005360752735446351,0.0007122006998773209,0.03292461587302056,0.0007466221800749561,0.00026502845264314107,0.017495431701520413,0.0008629314885076816,0.0213928968178441,0.019692661377258586,0.0023009941818404184,0.07658876056386528,0.0020624257975618843,0.05475734098606668,0.399388081741008
tar_36,0.017497024149883512,0.11265184693106056,0.08047656711893855,0.017118168184010706,0.07703116527878774,0.028897573482903338,0.0035517201372345206,0.0010776955362304733,0.007345020476647481,3.4606562732070116e-05,0.021427273311656198,0.0038307576688697085,0.0007299411240836433,0.06632007852658782,8.771353018855806e-05,0.005686895122113231,0.0027538513356578304,0.0003386444147375546,0.07229295022734175,0.26103623319599073,0.0001575353576249662,0.15877240841725318,0.06088432990946577
tar_37,0.014900653592322118,0.08842618352653196,0.06950736985551101,0.019476739335231728,0.07997510124507738,0.04099393561556879,0.0015285645642990997,0.00454910750071158,0.0015505026898058876,0.00042664424271214205,0.021866925685214426,0.0011639184596353032,0.001021194339264973,0.048934714508885334,0.00017739861250653822,0.01611528266508793,0.0020330754695956446,2.6173005205955274e-05,0.08038749980636524,0.28796277417979543,0.0012790372341520552,0.16590701501766425,0.0517901888488552
tar_38,0.007649583072411257,0.18520345873071306,0.08775386870142109,0.0021617020237350154,0.083559381869538,0.053262135211989615,0.002205197623017231,0.000626715190288896,0.00500568980271002,0.0009877006966675548,0.00023571922435020943,0.007943599524781719,0.010924707193289867,0.05163085061504307,0.00016548449861080431,0.0035620374754682573,0.0040609966402335804,0.0013290618976547102,0.06810156191520586,0.2000057696699635,4.528448832315945e-05,0.18988668954478635,0.03369280438979727
tar_39,0.0279716752126692,0.35060011041962486,0.02229022681203627,0.028222574548985434,0.06752625827714252,0.06099157220699747,0.07130531067298836,0.0014487438560294493,0.00938458242176428,0.000996961731755829,0.0026846907610536923,0.013223421050661337,0.01928714275010411,0.019655189866149836,0.02159756272679249,0.003012638850109246,0.005099891158676142,0.00010782552808169413,0.00041183758011911417,0.17717679653242818,0.0005713279529012403,0.022759666216265982,0.07367399286666342
tar_40,0.021183838826271298,0.15123109594012998,0.002454825431938323,0.020171272309687703,0.07925619970627557,0.0032579108850453705,0.00013197254346185142,0.012121041830909321,0.009622142469574884,0.0007538620831856859,0.013486084010866296,0.024777145843901848,0.004149072338884118,0.024611142676454412,0.00431264593839278,0.016246927814669576,0.00759163737527265,0.006473728134619766,0.0004157188045850074,0.2067246993795597,0.0048527653445992695,0.1339471147972358,0.2522271555144788
tar_41,0.0041825106957849925,0.41347056744973754,0.0012027840308686307,0.011380528707943264,0.07298142638253667,0.031011398561423317,0.059845215260127836,0.0034509226235536535,0.0005743845399807738,0.006991736612332535,0.0018221412737746117,0.006089081866458723,0.011445651158350688,0.0027792192573929137,0.0021150020302131136,0.007300983248226306,6.836501248092012e-05,0.0009880346706228863,0.006906178266380585,0.18390892843770767,0.02273618881678323,0.06472553877279418,0.08402321232452524
tar_42,0.040831403287622345,0.15255675786606165,0.032924037555854525,0.040058600080680754,0.07836358464439244,0.04729913192032259,0.00044445431232012657,0.009555688629189532,0.0009620424592674475,0.007843292890766431,0.0004509031731952289,0.0023015802632441813,0.002091033818579492,0.07570444724885166,0.0006317197899275203,0.0004210536180075213,0.00015698052741075903,8.693279761131833e-05,0.026901570805009416,0.18782234266103445,0.0009398780488291341,0.26103384857178114,0.03061871503004053
tar_43,0.014900653592322118,0.08842618352653196,0.06950736985551101,0.019476739335231728,0.07997510124507738,0.04099393561556879,0.0015285645642990997,0.00454910750071158,0.0015505026898058876,0.00042664424271214205,0.021866925685214426,0.0011639184596353032,0.001021194339264973,0.048934714508885334,0.00017739861250653822,0.01611528266508793,0.0020330754695956446,2.6173005205955274e-05,0.08038749980636524,0.28796277417979543,0.0012790372341520552,0.16590701501766425,0.0517901888488552
